user_id,buy_probability,prediction,confidence,reason_1,reason_2,reason_3,plain_english
116,0.008,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Your basket size is small,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Your basket size is small.
117,0.006,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Low cart activity observed,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Low cart activity observed.
118,0.039,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Your purchase frequency is low,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Your purchase frequency is low.
119,0.035,May Not Buy,High,You have not shopped recently,You buy fewer items per visit,Your basket size is small,This customer is may not purchase soon. Key factors: You have not shopped recently; You buy fewer items per visit; Your basket size is small.
120,0.02,May Not Buy,High,You have not shopped recently,Your spending is currently low,You buy fewer items per visit,This customer is may not purchase soon. Key factors: You have not shopped recently; Your spending is currently low; You buy fewer items per visit.
121,0.018,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Your spending is currently low,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Your spending is currently low.
122,0.984,Will Buy,High,Your recent activity on our platform,You buy in larger quantities,Your consistent purchase habits,This customer is likely to purchase. Key factors: Your recent activity on our platform; You buy in larger quantities; Your consistent purchase habits.
123,0.015,May Not Buy,High,You have not shopped recently,Your basket size is small,You buy fewer items per visit,This customer is may not purchase soon. Key factors: You have not shopped recently; Your basket size is small; You buy fewer items per visit.
124,0.97,Will Buy,High,Your recent activity on our platform,Your consistent purchase habits,Your large average basket size,This customer is likely to purchase. Key factors: Your recent activity on our platform; Your consistent purchase habits; Your large average basket size.
125,0.985,Will Buy,High,Your recent activity on our platform,You buy in larger quantities,Your consistent purchase habits,This customer is likely to purchase. Key factors: Your recent activity on our platform; You buy in larger quantities; Your consistent purchase habits.
126,0.018,May Not Buy,High,You have not shopped recently,Your basket size is small,You buy fewer items per visit,This customer is may not purchase soon. Key factors: You have not shopped recently; Your basket size is small; You buy fewer items per visit.
127,0.009,May Not Buy,High,You have not shopped recently,Your basket size is small,Your purchase frequency is low,This customer is may not purchase soon. Key factors: You have not shopped recently; Your basket size is small; Your purchase frequency is low.
128,0.078,May Not Buy,High,You have not shopped recently,You buy in larger quantities,You frequently add items to cart,This customer is may not purchase soon. Key factors: You have not shopped recently; You buy in larger quantities; You frequently add items to cart.
129,0.061,May Not Buy,High,You have not shopped recently,Your spending is currently low,Your purchase rate has slowed,This customer is may not purchase soon. Key factors: You have not shopped recently; Your spending is currently low; Your purchase rate has slowed.
130,0.022,May Not Buy,High,You have not shopped recently,Your spending is currently low,You buy fewer items per visit,This customer is may not purchase soon. Key factors: You have not shopped recently; Your spending is currently low; You buy fewer items per visit.
131,0.035,May Not Buy,High,You have not shopped recently,Low cart activity observed,Your consistent purchase habits,This customer is may not purchase soon. Key factors: You have not shopped recently; Low cart activity observed; Your consistent purchase habits.
132,0.017,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Limited product browsing detected,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Limited product browsing detected.
133,0.01,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Limited product browsing detected,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Limited product browsing detected.
134,0.029,May Not Buy,High,You have not shopped recently,Short browsing sessions detected,You buy in larger quantities,This customer is may not purchase soon. Key factors: You have not shopped recently; Short browsing sessions detected; You buy in larger quantities.
135,0.915,Will Buy,High,Your recent activity on our platform,Your basket size is small,Your consistent purchase habits,This customer is likely to purchase. Key factors: Your recent activity on our platform; Your basket size is small; Your consistent purchase habits.
136,0.032,May Not Buy,High,You have not shopped recently,Limited product browsing detected,You buy fewer items per visit,This customer is may not purchase soon. Key factors: You have not shopped recently; Limited product browsing detected; You buy fewer items per visit.
137,0.019,May Not Buy,High,You have not shopped recently,You buy fewer items per visit,Your purchase frequency is low,This customer is may not purchase soon. Key factors: You have not shopped recently; You buy fewer items per visit; Your purchase frequency is low.
138,0.006,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Low cart activity observed,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Low cart activity observed.
139,0.016,May Not Buy,High,You have not shopped recently,Your basket size is small,You buy fewer items per visit,This customer is may not purchase soon. Key factors: You have not shopped recently; Your basket size is small; You buy fewer items per visit.
140,0.024,May Not Buy,High,You have not shopped recently,Limited product browsing detected,Your spending is currently low,This customer is may not purchase soon. Key factors: You have not shopped recently; Limited product browsing detected; Your spending is currently low.
141,0.954,Will Buy,High,Your recent activity on our platform,You buy in larger quantities,You shop frequently with us,This customer is likely to purchase. Key factors: Your recent activity on our platform; You buy in larger quantities; You shop frequently with us.
142,0.01,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Limited product browsing detected,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Limited product browsing detected.
143,0.01,May Not Buy,High,You have not shopped recently,Your spending is currently low,You buy fewer items per visit,This customer is may not purchase soon. Key factors: You have not shopped recently; Your spending is currently low; You buy fewer items per visit.
144,0.024,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Your spending is currently low,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Your spending is currently low.
145,0.015,May Not Buy,High,You have not shopped recently,Your basket size is small,You buy fewer items per visit,This customer is may not purchase soon. Key factors: You have not shopped recently; Your basket size is small; You buy fewer items per visit.
146,0.01,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Low cart activity observed,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Low cart activity observed.
147,0.029,May Not Buy,High,You have not shopped recently,Your interest in diverse products,You buy in larger quantities,This customer is may not purchase soon. Key factors: You have not shopped recently; Your interest in diverse products; You buy in larger quantities.
148,0.02,May Not Buy,High,You have not shopped recently,Short browsing sessions detected,You buy fewer items per visit,This customer is may not purchase soon. Key factors: You have not shopped recently; Short browsing sessions detected; You buy fewer items per visit.
149,0.948,Will Buy,High,Your recent activity on our platform,Your consistent purchase habits,You shop frequently with us,This customer is likely to purchase. Key factors: Your recent activity on our platform; Your consistent purchase habits; You shop frequently with us.
150,0.001,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Low cart activity observed,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Low cart activity observed.
151,0.96,Will Buy,High,Your recent activity on our platform,Your consistent purchase habits,You buy in larger quantities,This customer is likely to purchase. Key factors: Your recent activity on our platform; Your consistent purchase habits; You buy in larger quantities.
152,0.013,May Not Buy,High,You have not shopped recently,Your basket size is small,You buy in larger quantities,This customer is may not purchase soon. Key factors: You have not shopped recently; Your basket size is small; You buy in larger quantities.
153,0.021,May Not Buy,High,You have not shopped recently,Your basket size is small,You buy in larger quantities,This customer is may not purchase soon. Key factors: You have not shopped recently; Your basket size is small; You buy in larger quantities.
154,0.01,May Not Buy,High,You have not shopped recently,Low cart activity observed,Limited product browsing detected,This customer is may not purchase soon. Key factors: You have not shopped recently; Low cart activity observed; Limited product browsing detected.
155,0.044,May Not Buy,High,You have not shopped recently,Your consistent purchase habits,Your spending is currently low,This customer is may not purchase soon. Key factors: You have not shopped recently; Your consistent purchase habits; Your spending is currently low.
156,0.003,May Not Buy,High,You have not shopped recently,Low cart activity observed,You buy in larger quantities,This customer is may not purchase soon. Key factors: You have not shopped recently; Low cart activity observed; You buy in larger quantities.
157,0.959,Will Buy,High,Your recent activity on our platform,Your consistent purchase habits,You buy in larger quantities,This customer is likely to purchase. Key factors: Your recent activity on our platform; Your consistent purchase habits; You buy in larger quantities.
158,0.015,May Not Buy,High,You have not shopped recently,Short browsing sessions detected,You buy fewer items per visit,This customer is may not purchase soon. Key factors: You have not shopped recently; Short browsing sessions detected; You buy fewer items per visit.
159,0.023,May Not Buy,High,You have not shopped recently,Your basket size is small,You buy in larger quantities,This customer is may not purchase soon. Key factors: You have not shopped recently; Your basket size is small; You buy in larger quantities.
160,0.025,May Not Buy,High,You have not shopped recently,You buy fewer items per visit,Short browsing sessions detected,This customer is may not purchase soon. Key factors: You have not shopped recently; You buy fewer items per visit; Short browsing sessions detected.
161,0.934,Will Buy,High,Your recent activity on our platform,Your consistent purchase habits,Low cart activity observed,This customer is likely to purchase. Key factors: Your recent activity on our platform; Your consistent purchase habits; Low cart activity observed.
162,0.051,May Not Buy,High,You have not shopped recently,Your spending is currently low,Your consistent purchase habits,This customer is may not purchase soon. Key factors: You have not shopped recently; Your spending is currently low; Your consistent purchase habits.
163,0.029,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Your basket size is small,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Your basket size is small.
164,0.017,May Not Buy,High,You have not shopped recently,Short browsing sessions detected,Your spending is currently low,This customer is may not purchase soon. Key factors: You have not shopped recently; Short browsing sessions detected; Your spending is currently low.
165,0.019,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Low cart activity observed,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Low cart activity observed.
166,0.026,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Low cart activity observed,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Low cart activity observed.
167,0.904,Will Buy,High,Your recent activity on our platform,You buy fewer items per visit,You frequently add items to cart,This customer is likely to purchase. Key factors: Your recent activity on our platform; You buy fewer items per visit; You frequently add items to cart.
168,0.899,Will Buy,High,Your recent activity on our platform,Limited product browsing detected,Your spending is currently low,This customer is likely to purchase. Key factors: Your recent activity on our platform; Limited product browsing detected; Your spending is currently low.
169,0.979,Will Buy,High,Your recent activity on our platform,You buy in larger quantities,Your consistent purchase habits,This customer is likely to purchase. Key factors: Your recent activity on our platform; You buy in larger quantities; Your consistent purchase habits.
170,0.014,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Limited product browsing detected,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Limited product browsing detected.
171,0.962,Will Buy,High,Your recent activity on our platform,You buy in larger quantities,You shop frequently with us,This customer is likely to purchase. Key factors: Your recent activity on our platform; You buy in larger quantities; You shop frequently with us.
172,0.055,May Not Buy,High,You have not shopped recently,You buy in larger quantities,Your basket size is small,This customer is may not purchase soon. Key factors: You have not shopped recently; You buy in larger quantities; Your basket size is small.
173,0.032,May Not Buy,High,You have not shopped recently,You buy fewer items per visit,Limited product browsing detected,This customer is may not purchase soon. Key factors: You have not shopped recently; You buy fewer items per visit; Limited product browsing detected.
174,0.022,May Not Buy,High,You have not shopped recently,Your purchase frequency is low,Your spending is currently low,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase frequency is low; Your spending is currently low.
175,0.987,Will Buy,High,Your recent activity on our platform,You buy in larger quantities,Your large average basket size,This customer is likely to purchase. Key factors: Your recent activity on our platform; You buy in larger quantities; Your large average basket size.
176,0.031,May Not Buy,High,You have not shopped recently,You buy fewer items per visit,You frequently add items to cart,This customer is may not purchase soon. Key factors: You have not shopped recently; You buy fewer items per visit; You frequently add items to cart.
177,0.034,May Not Buy,High,You have not shopped recently,Low cart activity observed,Your consistent purchase habits,This customer is may not purchase soon. Key factors: You have not shopped recently; Low cart activity observed; Your consistent purchase habits.
178,0.011,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Your spending is currently low,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Your spending is currently low.
179,0.959,Will Buy,High,Your recent activity on our platform,You spend quality time browsing,Your consistent purchase habits,This customer is likely to purchase. Key factors: Your recent activity on our platform; You spend quality time browsing; Your consistent purchase habits.
180,0.018,May Not Buy,High,You have not shopped recently,You buy fewer items per visit,Low cart activity observed,This customer is may not purchase soon. Key factors: You have not shopped recently; You buy fewer items per visit; Low cart activity observed.
181,0.015,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,You buy fewer items per visit,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; You buy fewer items per visit.
182,0.057,May Not Buy,High,You have not shopped recently,You buy in larger quantities,Your interest in diverse products,This customer is may not purchase soon. Key factors: You have not shopped recently; You buy in larger quantities; Your interest in diverse products.
183,0.017,May Not Buy,High,You have not shopped recently,Your basket size is small,You buy in larger quantities,This customer is may not purchase soon. Key factors: You have not shopped recently; Your basket size is small; You buy in larger quantities.
184,0.017,May Not Buy,High,You have not shopped recently,You buy fewer items per visit,Your spending is currently low,This customer is may not purchase soon. Key factors: You have not shopped recently; You buy fewer items per visit; Your spending is currently low.
185,0.0,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,You buy fewer items per visit,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; You buy fewer items per visit.
186,0.929,Will Buy,High,Your recent activity on our platform,You buy in larger quantities,You actively browse our products,This customer is likely to purchase. Key factors: Your recent activity on our platform; You buy in larger quantities; You actively browse our products.
187,0.02,May Not Buy,High,You have not shopped recently,Your basket size is small,You buy fewer items per visit,This customer is may not purchase soon. Key factors: You have not shopped recently; Your basket size is small; You buy fewer items per visit.
188,0.936,Will Buy,High,Your recent activity on our platform,Your consistent purchase habits,Your spending is currently low,This customer is likely to purchase. Key factors: Your recent activity on our platform; Your consistent purchase habits; Your spending is currently low.
189,0.015,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Your basket size is small,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Your basket size is small.
190,0.989,Will Buy,High,Your recent activity on our platform,You buy in larger quantities,You actively browse our products,This customer is likely to purchase. Key factors: Your recent activity on our platform; You buy in larger quantities; You actively browse our products.
191,0.938,Will Buy,High,Your recent activity on our platform,Your purchase rate has slowed,You frequently add items to cart,This customer is likely to purchase. Key factors: Your recent activity on our platform; Your purchase rate has slowed; You frequently add items to cart.
192,0.975,Will Buy,High,Your recent activity on our platform,Your consistent purchase habits,Low cart activity observed,This customer is likely to purchase. Key factors: Your recent activity on our platform; Your consistent purchase habits; Low cart activity observed.
193,0.945,Will Buy,High,Your recent activity on our platform,Your large average basket size,Your consistent purchase habits,This customer is likely to purchase. Key factors: Your recent activity on our platform; Your large average basket size; Your consistent purchase habits.
194,0.028,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,You buy fewer items per visit,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; You buy fewer items per visit.
195,0.003,May Not Buy,High,You have not shopped recently,Your basket size is small,You buy fewer items per visit,This customer is may not purchase soon. Key factors: You have not shopped recently; Your basket size is small; You buy fewer items per visit.
196,0.017,May Not Buy,High,You have not shopped recently,You buy fewer items per visit,Short browsing sessions detected,This customer is may not purchase soon. Key factors: You have not shopped recently; You buy fewer items per visit; Short browsing sessions detected.
197,0.977,Will Buy,High,Your recent activity on our platform,Your consistent purchase habits,Your high spending pattern,This customer is likely to purchase. Key factors: Your recent activity on our platform; Your consistent purchase habits; Your high spending pattern.
198,0.944,Will Buy,High,Your recent activity on our platform,Your purchase rate has slowed,You buy in larger quantities,This customer is likely to purchase. Key factors: Your recent activity on our platform; Your purchase rate has slowed; You buy in larger quantities.
199,0.932,Will Buy,High,Your recent activity on our platform,You actively browse our products,Your consistent purchase habits,This customer is likely to purchase. Key factors: Your recent activity on our platform; You actively browse our products; Your consistent purchase habits.
200,0.975,Will Buy,High,Your recent activity on our platform,Your consistent purchase habits,You buy in larger quantities,This customer is likely to purchase. Key factors: Your recent activity on our platform; Your consistent purchase habits; You buy in larger quantities.
201,0.038,May Not Buy,High,You have not shopped recently,Your basket size is small,Your spending is currently low,This customer is may not purchase soon. Key factors: You have not shopped recently; Your basket size is small; Your spending is currently low.
202,0.03,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,You buy fewer items per visit,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; You buy fewer items per visit.
203,0.041,May Not Buy,High,You have not shopped recently,You buy in larger quantities,Your basket size is small,This customer is may not purchase soon. Key factors: You have not shopped recently; You buy in larger quantities; Your basket size is small.
204,0.04,May Not Buy,High,You have not shopped recently,Your spending is currently low,Your consistent purchase habits,This customer is may not purchase soon. Key factors: You have not shopped recently; Your spending is currently low; Your consistent purchase habits.
205,0.026,May Not Buy,High,You have not shopped recently,You buy fewer items per visit,Your spending is currently low,This customer is may not purchase soon. Key factors: You have not shopped recently; You buy fewer items per visit; Your spending is currently low.
206,0.939,Will Buy,High,Your recent activity on our platform,Your large average basket size,Low cart activity observed,This customer is likely to purchase. Key factors: Your recent activity on our platform; Your large average basket size; Low cart activity observed.
207,0.977,Will Buy,High,Your recent activity on our platform,You buy in larger quantities,Your large average basket size,This customer is likely to purchase. Key factors: Your recent activity on our platform; You buy in larger quantities; Your large average basket size.
208,0.032,May Not Buy,High,You have not shopped recently,Limited product browsing detected,Your large average basket size,This customer is may not purchase soon. Key factors: You have not shopped recently; Limited product browsing detected; Your large average basket size.
209,0.829,Will Buy,High,Your recent activity on our platform,You buy in larger quantities,Your consistent purchase habits,This customer is likely to purchase. Key factors: Your recent activity on our platform; You buy in larger quantities; Your consistent purchase habits.
210,0.013,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,You buy fewer items per visit,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; You buy fewer items per visit.
211,0.029,May Not Buy,High,You have not shopped recently,You buy fewer items per visit,Your consistent purchase habits,This customer is may not purchase soon. Key factors: You have not shopped recently; You buy fewer items per visit; Your consistent purchase habits.
212,0.014,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Limited product browsing detected,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Limited product browsing detected.
213,0.948,Will Buy,High,Your recent activity on our platform,You buy in larger quantities,Your basket size is small,This customer is likely to purchase. Key factors: Your recent activity on our platform; You buy in larger quantities; Your basket size is small.
214,0.05,May Not Buy,High,You have not shopped recently,Your consistent purchase habits,You shop frequently with us,This customer is may not purchase soon. Key factors: You have not shopped recently; Your consistent purchase habits; You shop frequently with us.
215,0.005,May Not Buy,High,You have not shopped recently,Your basket size is small,You buy fewer items per visit,This customer is may not purchase soon. Key factors: You have not shopped recently; Your basket size is small; You buy fewer items per visit.
216,0.03,May Not Buy,High,You have not shopped recently,You buy in larger quantities,Your spending is currently low,This customer is may not purchase soon. Key factors: You have not shopped recently; You buy in larger quantities; Your spending is currently low.
217,0.971,Will Buy,High,Your recent activity on our platform,You actively browse our products,You buy in larger quantities,This customer is likely to purchase. Key factors: Your recent activity on our platform; You actively browse our products; You buy in larger quantities.
218,0.005,May Not Buy,High,You have not shopped recently,Your basket size is small,You buy fewer items per visit,This customer is may not purchase soon. Key factors: You have not shopped recently; Your basket size is small; You buy fewer items per visit.
219,0.97,Will Buy,High,Your recent activity on our platform,Your consistent purchase habits,You shop frequently with us,This customer is likely to purchase. Key factors: Your recent activity on our platform; Your consistent purchase habits; You shop frequently with us.
220,0.018,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Short browsing sessions detected,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Short browsing sessions detected.
221,0.927,Will Buy,High,Your recent activity on our platform,You buy in larger quantities,Your basket size is small,This customer is likely to purchase. Key factors: Your recent activity on our platform; You buy in larger quantities; Your basket size is small.
222,0.029,May Not Buy,High,You have not shopped recently,Short browsing sessions detected,Your spending is currently low,This customer is may not purchase soon. Key factors: You have not shopped recently; Short browsing sessions detected; Your spending is currently low.
223,0.023,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Your spending is currently low,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Your spending is currently low.
224,0.007,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Low cart activity observed,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Low cart activity observed.
225,0.049,May Not Buy,High,You have not shopped recently,Your large average basket size,Your purchase rate has slowed,This customer is may not purchase soon. Key factors: You have not shopped recently; Your large average basket size; Your purchase rate has slowed.
226,0.019,May Not Buy,High,You have not shopped recently,Low cart activity observed,Your spending is currently low,This customer is may not purchase soon. Key factors: You have not shopped recently; Low cart activity observed; Your spending is currently low.
227,0.0,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Short browsing sessions detected,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Short browsing sessions detected.
228,0.003,May Not Buy,High,You have not shopped recently,Your basket size is small,Your spending is currently low,This customer is may not purchase soon. Key factors: You have not shopped recently; Your basket size is small; Your spending is currently low.
229,0.014,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,You buy fewer items per visit,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; You buy fewer items per visit.
230,0.019,May Not Buy,High,You have not shopped recently,You buy fewer items per visit,Low cart activity observed,This customer is may not purchase soon. Key factors: You have not shopped recently; You buy fewer items per visit; Low cart activity observed.
231,0.031,May Not Buy,High,You have not shopped recently,You buy fewer items per visit,Low cart conversion rate,This customer is may not purchase soon. Key factors: You have not shopped recently; You buy fewer items per visit; Low cart conversion rate.
232,0.099,May Not Buy,High,You have not shopped recently,You buy fewer items per visit,Your purchase rate has slowed,This customer is may not purchase soon. Key factors: You have not shopped recently; You buy fewer items per visit; Your purchase rate has slowed.
233,0.023,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Your spending is currently low,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Your spending is currently low.
234,0.009,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Low cart activity observed,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Low cart activity observed.
235,0.971,Will Buy,High,Your recent activity on our platform,Your consistent purchase habits,You buy in larger quantities,This customer is likely to purchase. Key factors: Your recent activity on our platform; Your consistent purchase habits; You buy in larger quantities.
236,0.031,May Not Buy,High,You have not shopped recently,Your spending is currently low,You shop frequently with us,This customer is may not purchase soon. Key factors: You have not shopped recently; Your spending is currently low; You shop frequently with us.
237,0.994,Will Buy,High,Your recent activity on our platform,Your consistent purchase habits,Your high spending pattern,This customer is likely to purchase. Key factors: Your recent activity on our platform; Your consistent purchase habits; Your high spending pattern.
238,0.899,Will Buy,High,Your recent activity on our platform,Your purchase rate has slowed,Your basket size is small,This customer is likely to purchase. Key factors: Your recent activity on our platform; Your purchase rate has slowed; Your basket size is small.
239,0.154,May Not Buy,High,You have not shopped recently,Your spending is currently low,You buy fewer items per visit,This customer is may not purchase soon. Key factors: You have not shopped recently; Your spending is currently low; You buy fewer items per visit.
240,0.004,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Your basket size is small,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Your basket size is small.
241,0.013,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Short browsing sessions detected,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Short browsing sessions detected.
242,0.971,Will Buy,High,Your recent activity on our platform,Your consistent purchase habits,Low cart activity observed,This customer is likely to purchase. Key factors: Your recent activity on our platform; Your consistent purchase habits; Low cart activity observed.
243,0.024,May Not Buy,High,You have not shopped recently,Your basket size is small,Your spending is currently low,This customer is may not purchase soon. Key factors: You have not shopped recently; Your basket size is small; Your spending is currently low.
244,0.0,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Low cart activity observed,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Low cart activity observed.
245,0.008,May Not Buy,High,You have not shopped recently,You buy fewer items per visit,Low cart activity observed,This customer is may not purchase soon. Key factors: You have not shopped recently; You buy fewer items per visit; Low cart activity observed.
246,0.975,Will Buy,High,Your recent activity on our platform,Your consistent purchase habits,Your high spending pattern,This customer is likely to purchase. Key factors: Your recent activity on our platform; Your consistent purchase habits; Your high spending pattern.
247,0.08,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Your basket size is small,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Your basket size is small.
248,0.01,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Low cart activity observed,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Low cart activity observed.
249,0.031,May Not Buy,High,You have not shopped recently,Your interest in diverse products,Your large average basket size,This customer is may not purchase soon. Key factors: You have not shopped recently; Your interest in diverse products; Your large average basket size.
250,0.008,May Not Buy,High,You have not shopped recently,Your basket size is small,Your purchase rate has slowed,This customer is may not purchase soon. Key factors: You have not shopped recently; Your basket size is small; Your purchase rate has slowed.
251,0.008,May Not Buy,High,You have not shopped recently,Limited product browsing detected,Short browsing sessions detected,This customer is may not purchase soon. Key factors: You have not shopped recently; Limited product browsing detected; Short browsing sessions detected.
